1	4
2	2
3	10
4	2
5	19
6	12
7	1
8	100160
9	10
10	10
12	11
13	2
16	2609775
20	2
21	30
22	10
24	18166
29	1
32	6732
35	1
36	2
37	1
38	1
39	1
40	56584
48	51615
49	150
50	80
51	1
56	120
64	239
72	110
73	1
78	2
79	1
80	441
88	271
96	53243
98	10
102	10
103	10
104	170
116	2
120	21
126	1
128	50216
129	1
133	1
144	50010
152	42
153	1
160	3
169	1
173	1
176	20
181	1
190	1
192	22073
200	11
216	1
220	1
240	2
256	179
264	1
265	1
280	23
288	3333
312	2
352	11
368	1
384	3
385	1
406	1
416	43
439	1
472	1
512	175
544	100162
576	2
608	340
640	10
672	440
704	1
736	300
768	1
800	220
832	11
864	80
1024	152
1056	1
1088	50050
1152	1
1216	130
1224	60
1232	50
1240	50
1248	31
1256	10
1264	40
1272	30
1344	150
1408	1
1472	110
1504	40
1600	100
1664	11
1728	10
2048	150
2056	20
2176	30
2240	1
2400	30
2408	10
2416	40
2424	60
2432	50
2440	30
2448	30
2464	60
2472	10
2480	30
2560	1
2688	70
2852	1
2944	50
2976	1
3008	30
3160	10
3200	60
3328	11
3456	10
3680	10
3872	1
4096	150
4352	20
4530	1
4864	50
5120	1
5376	70
5452	10
5888	40
6400	60
6656	10
6912	10
8192	150
8704	20
9728	50
9760	1
10240	1
10752	70
11776	40
12800	30
13312	10
13824	10
16384	150
17408	20
19456	50
20480	1
32768	150
38912	10
65536	480
73728	1
77824	10
