 File  .text     Size                                           Crate Name
 0.5%   0.7% 153.5KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_147::ere_match_struct_147::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.7% 151.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_81::ere_match_struct_81::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.7% 147.5KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_140::ere_match_struct_140::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.7% 140.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_86::ere_match_struct_86::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.7% 140.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_135::ere_match_struct_135::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.7% 138.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_146::ere_match_struct_146::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.7% 136.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_130::ere_match_struct_130::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.6% 136.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_27::ere_match_struct_27::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 131.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_64::ere_match_struct_64::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 130.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_159::ere_match_struct_159::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 130.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_61::ere_match_struct_61::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 130.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_62::ere_match_struct_62::ENGINE_BYTES::exec::transition_epsilons_exec
