 File  .text     Size                     Crate Name
 0.0%   0.1%   2.5KiB                     s4lib s4lib::readers::blockreader::BlockReader::read_block_FileXz
 0.0%   0.1%   2.5KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependdate
 0.0%   0.1%   2.4KiB                     s4lib s4lib::python::pyrunner::PipeStreamReader::new
 0.0%   0.1%   2.3KiB                     s4lib s4lib::readers::blockreader::BlockReader::read_block
 0.0%   0.1%   2.3KiB                     s4lib s4lib::readers::syslinereader::SyslineReader::LRU_cache_enable
 0.0%   0.1%   2.1KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_
 0.0%   0.1%   2.0KiB                     s4lib s4lib::python::venv::deploy_pyproject_s4_event_readers
 0.0%   0.1%   1.9KiB                     s4lib s4lib::readers::syslinereader::SyslineReader::clear_syslines
 0.0%   0.1%   1.8KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependfile
 0.0%   0.1%   1.7KiB                     s4lib s4lib::data::line::LinePart::new
 0.0%   0.0%   1.7KiB                     s4lib s4lib::readers::syslinereader::SyslineReader::check_store
 0.0%   0.0%   1.7KiB                     s4lib s4lib::readers::syslinereader::SyslineReader::find_sysline_year
 0.0%   0.0%   1.6KiB                     s4lib hashbrown::raw::RawTable<T,A>::reserve_rehash
 0.0%   0.0%   1.6KiB                     s4lib hashbrown::raw::RawTable<T,A>::reserve_rehash
 0.0%   0.0%   1.5KiB                     s4lib hashbrown::raw::RawTable<T,A>::reserve_rehash
 0.0%   0.0%   1.5KiB                     s4lib s4lib::readers::summary::Summary::new
 0.0%   0.0%   1.4KiB                     s4lib s4lib::readers::pyeventreader::PyEventReader::summary_complete
 0.0%   0.0%   1.4KiB                     s4lib s4lib::data::datetime::datetime_from_str_workaround_Issue660
 0.0%   0.0%   1.4KiB                     s4lib s4lib::readers::journalreader::JournalReader::summary_complete
 0.0%   0.0%   1.4KiB                     s4lib s4lib::readers::fixedstructreader::FixedStructReader::summary_complete
 0.0%   0.0%   1.3KiB                     s4lib s4lib::printer::printers::print_colored_stderr
 0.0%   0.0%   1.2KiB                     s4lib s4lib::readers::blockreader::BlockReader::store_block_in_LRU_cache
 0.0%   0.0%   1.2KiB                     s4lib s4lib::printer::summary::print_datetime_asis_utc_dimmed
 0.0%   0.0%   1.2KiB                     s4lib s4lib::readers::journalreader::JournalReader::next_common
 0.0%   0.0%   1.2KiB                     s4lib s4lib::readers::blockreader::BlockReader::drop_block
 0.0%   0.0%   1.2KiB                     s4lib hashbrown::raw::RawTable<T,A>::reserve_rehash
 0.0%   0.0%   1.2KiB                     s4lib s4lib::printer::summary::print_cache_stats_summaryblockreader
 0.0%   0.0%   1.2KiB                     s4lib s4lib::readers::fixedstructreader::FixedStructReader::drop_entry
 0.0%   0.0%   1.2KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_
 0.0%   0.0%   1.1KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_evtx_
 0.0%   0.0%   1.1KiB                     s4lib <s4lib::libload::systemd_dlopen2::SdJournalHApi as dlopen2::wrapper::api::WrapperApi>::load
 0.0%   0.0%     980B                     s4lib s4lib::data::datetime::datetime_parse_from_str
 0.0%   0.0%     968B                     s4lib s4lib::data::fixedstruct::FixedStruct::from_fixedstructptr
 0.0%   0.0%     961B                     s4lib s4lib::readers::fixedstructreader::FixedStructReader::fileoffset_first
 0.0%   0.0%     961B                     s4lib s4lib::data::fixedstruct::buffer_to_fixedstructptr
 0.0%   0.0%     933B                     s4lib s4lib::python::pyrunner::PyRunner::stderr_all_add
 0.0%   0.0%     912B                     s4lib s4lib::readers::syslinereader::SyslineReader::datetime_parse_data
 0.0%   0.0%     874B                     s4lib s4lib::readers::linereader::LineReader::get_linep
 0.0%   0.0%     845B                     s4lib s4lib::printer::summary::print_datetime_utc_dimmed
 0.0%   0.0%     844B                     s4lib s4lib::readers::blockreader::BlockReader::read_block_File
