 File  .text     Size             Crate Name
 0.1%   0.2%   7.2KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependdate_color
 0.1%   0.2%   7.1KiB      clap_builder clap_builder::output::usage::Usage::write_arg_usage
 0.1%   0.2%   7.0KiB       miniz_oxide miniz_oxide::inflate::core::decompress
 0.1%   0.2%   7.0KiB      regex_syntax regex_syntax::hir::Hir::alternation
 0.1%   0.2%   6.9KiB               std std::thread::available_parallelism
 0.1%   0.2%   6.7KiB         addr2line addr2line::unit::ResUnit<R>::find_function_or_location::{{closure}}
 0.1%   0.2%   6.5KiB tikv_jemalloc_sys _rjem_je_arena_ralloc
 0.1%   0.2%   6.5KiB      clap_builder clap_builder::output::help_template::HelpTemplate::write_subcommands
 0.1%   0.2%   6.3KiB      aho_corasick aho_corasick::util::prefilter::Builder::build
 0.1%   0.2%   6.3KiB             s4lib s4lib::readers::filepreprocessor::pathbuf_to_filetype_impl
 0.1%   0.2%   6.3KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependfile_color
 0.1%   0.2%   6.1KiB           lzma_rs lzma_rs::decode::rangecoder::LenDecoder::reset
 0.1%   0.2%   6.0KiB      aho_corasick aho_corasick::automaton::try_find_fwd
 0.1%   0.2%   5.9KiB             s4lib s4lib::python::pyrunner::PyRunner::run
 0.1%   0.2%   5.9KiB            chrono chrono::offset::local::inner::current_zone
 0.0%   0.2%   5.6KiB             s4lib s4lib::readers::linereader::LineReader::insert_line
 0.0%   0.2%   5.5KiB    regex_automata regex_automata::nfa::thompson::backtrack::BoundedBacktracker::search_imp
 0.0%   0.2%   5.5KiB             regex regex::error::Error::from_meta_build_error
 0.0%   0.2%   5.4KiB      regex_syntax regex_syntax::hir::literal::Extractor::extract
 0.0%   0.2%   5.3KiB             s4lib s4lib::readers::linereader::LineReader::find_line
 0.0%   0.2%   5.3KiB            chrono <chrono::format::strftime::StrftimeItems as core::iter::traits::iterator::Iterator>::next
 0.0%   0.2%   5.3KiB      aho_corasick <aho_corasick::packed::teddy::builder::x86_64::SlimAVX2<4_usize> as aho_corasick::packed::teddy::builder::SearcherT>::find
 0.0%   0.2%   5.3KiB      aho_corasick aho_corasick::dfa::Builder::build_from_noncontiguous
 0.0%   0.2%   5.2KiB    regex_automata regex_automata::hybrid::dfa::Lazy::cache_next_state
 0.0%   0.2%   5.2KiB     clap_builder? <clap_builder::builder::command::Command as core::clone::Clone>::clone
 0.0%   0.2%   5.2KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_color
 0.0%   0.2%   5.2KiB      clap_builder clap_builder::parser::parser::Parser::did_you_mean_error
 0.0%   0.1%   5.1KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_journalentry_color
 0.0%   0.1%   5.1KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_evtx_color
 0.0%   0.1%   5.1KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_pyevent_color
 0.0%   0.1%   5.0KiB      aho_corasick <aho_corasick::packed::teddy::builder::x86_64::SlimAVX2<3_usize> as aho_corasick::packed::teddy::builder::SearcherT>::find
 0.0%   0.1%   5.0KiB             s4lib s4lib::readers::journalreader::JournalReader::next_short
 0.0%   0.1%   5.0KiB        rayon_core rayon_core::registry::Registry::new
18.2%  59.9%   2.0MiB                   And 4452 smaller methods. Use -n N to show more.
30.4% 100.0%   3.4MiB                   .text section size, the file size is 11.0MiB
