+ exec env S4_ALLOC_TRACKER_PRINT= S4_ALLOC_TRACKER_TRACKING=1 cargo run --quiet --profile alloc_tracker --features alloc_tracker -- ./logs/programs/Event_Trace_Log/WindowsUpdate.20251008.140245.443.8.etl
File                                     |  Line:Col |  ID:Name (thread)    | Function                                                                                             | Allocations |         Bytes
src/s4/s4.rs                             |  4912: 34 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |           276
src/s4/s4.rs                             |  3669: 51 |   1:main             | s4::s4::main::hf8d09a3b45e7feb1                                                                      |           1 |           224
src/s4/s4.rs                             |  4918: 49 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |           148
src/python/pyrunner.rs                   |   816: 37 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::new::h117174762d883c1c                                            |           1 |           144
src/readers/filepreprocessor.rs          |  1137: 22 |   1:main             | s4lib::readers::filepreprocessor::process_path::h74a9384fff7ac3d4                                    |           1 |           117
src/s4/s4.rs                             |  4920: 40 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |           116
src/python/pyrunner.rs                   |   767: 36 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::new::h117174762d883c1c                                            |           1 |            96
src/s4/s4.rs                             |  2529: 12 |   1:main             | <s4::s4::CLI_Args as clap_builder::derive::FromArgMatches>::from_arg_matches_mut::{{closure}}::ha6bc967a9eab3dea |           1 |            96
src/s4/s4.rs                             |  4935: 35 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            84
src/s4/s4.rs                             |  4933: 44 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            84
src/s4/s4.rs                             |  4937: 41 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            84
src/s4/s4.rs                             |  5122: 28 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            84
src/s4/s4.rs                             |  5110: 32 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            84
src/readers/pyeventreader.rs             |   406: 24 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::new::h88b8940d15018c90                                 |           1 |            80
src/s4/s4.rs                             |  4566:  9 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4::s4::exec_pyeventprocessor::hb0ab97695e56a66f                                                     |           1 |            71
src/readers/pyeventreader.rs             |   945: 20 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::summary_complete::h2de6c434a8203714                    |           1 |            71
src/readers/filepreprocessor.rs          |  1133: 33 |   1:main             | s4lib::readers::filepreprocessor::process_path::h74a9384fff7ac3d4                                    |           1 |            71
src/s4/s4.rs                             |  3432: 29 |   1:main             | s4::s4::cli_process_args::h5b76c099812ee6ae                                                          |           1 |            71
src/s4/s4.rs                             |  5027: 56 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            71
src/readers/filepreprocessor.rs          |  1167: 87 |   1:main             | s4lib::readers::filepreprocessor::process_path::h74a9384fff7ac3d4                                    |           1 |            71
src/python/pyrunner.rs                   |   259: 25 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::find_python_executable::{{closure}}::h7423375e4efc4e6f                      |           1 |            58
src/readers/filepreprocessor.rs          |  1167: 53 |   1:main             | s4lib::readers::filepreprocessor::process_path::h74a9384fff7ac3d4                                    |           1 |            56
src/s4/s4.rs                             |  5335: 52 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            52
src/s4/s4.rs                             |  5627: 62 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            52
src/s4/s4.rs                             |  5319: 26 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            52
src/python/pyrunner.rs                   |   255: 25 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::find_python_executable::{{closure}}::h7423375e4efc4e6f                      |           1 |            50
src/readers/pyeventreader.rs             |   364: 41 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::new::h88b8940d15018c90                                 |           1 |            48
src/readers/pyeventreader.rs             |   405: 45 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::new::h88b8940d15018c90                                 |           1 |            48
src/s4/s4.rs                             |  3405: 33 |   1:main             | s4::s4::cli_process_args::h5b76c099812ee6ae                                                          |           1 |            48
src/s4/s4.rs                             |  2881:  5 |   1:main             | s4::s4::cli_process_tz_offset::h5517a123feeb877d                                                     |           1 |            40
src/readers/pyeventreader.rs             |   378: 44 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::new::h88b8940d15018c90                                 |           1 |            39
src/s4/s4.rs                             |  5168: 32 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            39
src/readers/helpers.rs                   |    30:  5 |   1:main             | s4lib::readers::helpers::basename::h2738d59ac52b6485                                                 |           1 |            39
src/s4/s4.rs                             |  5170: 19 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           1 |            39
src/readers/helpers.rs                   |    36:  5 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::helpers::path_to_fpath::hd32e15fd50e78b4c                                            |           1 |            37
src/python/pyrunner.rs                   |   878: 26 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::new::h117174762d883c1c                                            |           1 |            37
src/python/venv.rs                       |    95:  5 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::venv::venv_path::h0b20b167affeef7e                                                    |           1 |            36
src/python/pyrunner.rs                   |   824: 20 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::new::h117174762d883c1c                                            |           1 |            30
src/python/pyrunner.rs                   |   258: 45 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::find_python_executable::{{closure}}::h7423375e4efc4e6f                      |           1 |            29
