 File  .text     Size                                           Crate Name
 0.5%   0.7% 155.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_161::ere_match_struct_161::ENGINE_BYTES::exec::transition_epsilons_exec
 0.5%   0.6% 144.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_139::ere_match_struct_139::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 138.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_129::ere_match_struct_129::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 137.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_146::ere_match_struct_146::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 137.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_134::ere_match_struct_134::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 135.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_27::ere_match_struct_27::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 134.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_158::ere_match_struct_158::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 133.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_145::ere_match_struct_145::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 131.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_64::ere_match_struct_64::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 127.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_61::ere_match_struct_61::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 127.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_62::ere_match_struct_62::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 127.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_85::ere_match_struct_85::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 123.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_69::ere_match_struct_69::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 121.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_66::ere_match_struct_66::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 121.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_67::ere_match_struct_67::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 120.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_84::ere_match_struct_84::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 114.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_154::ere_match_struct_154::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 114.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_155::ere_match_struct_155::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 114.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_156::ere_match_struct_156::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 112.4KiB                                  regex_automata regex_automata::meta::strategy::new
 0.3%   0.5% 111.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_157::ere_match_struct_157::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.5% 108.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_60::ere_match_struct_60::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4% 102.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_65::ere_match_struct_65::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4% 101.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_147::ere_match_struct_147::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4% 100.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_152::ere_match_struct_152::ENGINE_BYTES::exec::transition_epsilons_exec
